companyName,city,boardMember
Siemens AG,München,Roland Busch
BMW Group,München,Oliver Zipse
Volkswagen AG,Wolfsburg,Oliver Blume
Bosch GmbH,Stuttgart,Stefan Hartung
SAP SE,Walldorf,Christian Klein
Deutsche Telekom AG,Bonn,Timotheus Höttges
Allianz SE,München,Oliver Bäte
BASF SE,Ludwigshafen,Martin Brudermüller
Deutsche Bank AG,Frankfurt am Main,Christian Sewing
Mercedes-Benz Group,Stuttgart,Ola Källenius
